city_id	city_name	state_code	country_code	lat	lon
2773300	Kufstein	7	AT	47.58333	12.16667
2773549	Krems an der Donau	3	AT	48.40921	15.61415
2773913	Klosterneuburg	3	AT	48.30521	16.32522
2774326	Klagenfurt am Wörthersee	2	AT	46.62472	14.30528
2774773	Kapfenberg	6	AT	47.44458	15.29331
2775220	Innsbruck	7	AT	47.26266	11.39454
2776951	Hallein	5	AT	47.68333	13.1
1203891	Dinājpur	87	BD	25.62745	88.63779
2778067	Graz	6	AT	47.06667	15.45
2779674	Feldkirch	8	AT	47.23306	9.6
2780741	Dornbirn	8	AT	47.41427	9.74195
2781503	Bregenz	8	AT	47.50311	9.7471
2781520	Braunau am Inn	4	AT	48.25628	13.04343
2782067	Baden	3	AT	48.00543	16.23264
2782555	Amstetten	3	AT	48.1229	14.87206
3323063	Ansfelden	5	AT	47.965	13.04944
735914	Kateríni	ESYE12	GR	40.26956	22.50608
148106	Fizuli	18	AZ	39.60094	47.14529
148354	Beylagan	12	AZ	39.77556	47.61861
2158651	Maroubra	2	AU	-33.95	151.23333
2160582	Langwarrin	7	AU	-38.16667	145.16667
2992616	Montfermeil	11	FR	48.8982	2.57913
2167949	Earlwood	2	AU	-33.95	151.1
2993024	Montargis	24	FR	48	2.75
148290	Dzhalilabad	15	AZ	39.20963	48.49186
3577154	Oranjestad	0	AW	12.52398	-70.02703
3577277	Babijn	0	AW	12.53333	-69.98333
3577284	Angochi	0	AW	12.51667	-69.95
146970	Xankandi	61	AZ	39.8177	46.7528
147059	Əhmədbəyli	45	AZ	39.87867	48.39901
147105	Shushi	55	AZ	39.76006	46.74989
147271	Salyan	49	AZ	39.59621	48.98479
147288	Saatlı	45	AZ	39.93214	48.36892
147425	Neftçala	36	AZ	39.3768	49.247
147429	Nakhchivan	35	AZ	39.20889	45.41222
147622	Lankaran	29	AZ	38.75428	48.85062
147982	Imishli	24	AZ	39.87095	48.05995
148340	Pushkino	13	AZ	39.45833	48.545
148445	Astara	8	AZ	38.45598	48.87498
148565	Şirvan	7	AZ	39.93778	48.929
148619	Ağdam	3	AZ	39.99096	46.92736
584596	Zaqatala	70	AZ	41.6316	46.64479
584614	Zabrat	9	AZ	40.47746	49.94174
584649	Yevlakh	68	AZ	40.61832	47.15014
584716	Yelenendorf	62	AZ	40.58584	46.3189
584717	Xaçmaz	60	AZ	41.46426	48.80565
584791	Ujar	59	AZ	40.51902	47.65423
584871	Terter	57	AZ	40.34179	46.93242
584923	Sumqayıt	54	AZ	40.58972	49.66861
585103	Qaraçuxur	9	AZ	40.39667	49.97361
585152	Shamkhor	51	AZ	40.82975	46.0178
585156	Shamakhi	50	AZ	40.63141	48.64137
585170	Sheki	48	AZ	41.19194	47.17056
585184	Sabunçu	9	AZ	40.4425	49.94806
585187	Sabirabad	46	AZ	40.00869	48.47701
585220	Qusar	44	AZ	41.4275	48.4302
585221	Quba	42	AZ	41.36108	48.51341
585225	Hacıqabul	23	AZ	40.03874	48.94286
585226	Qazax	40	AZ	41.09246	45.36561
585379	Hacı Zeynalabdin	54	AZ	40.62333	49.55861
585514	Mingelchaur	33	AZ	40.76395	47.05953
585557	Maştağa	9	AZ	40.52983	50.00616
585568	Mardakan	9	AZ	40.49182	50.14292
585630	Lökbatan	9	AZ	40.3256	49.73376
585763	Kyurdarmir	27	AZ	40.34532	48.15085
585915	Khirdalan	1	AZ	40.44808	49.75502
586340	Yeni Suraxanı	9	AZ	40.43026	50.03598
586427	Geoktschai	22	AZ	40.65055	47.74219
586429	Hövsan	9	AZ	40.37444	50.08528
586523	Ganja	20	AZ	40.68278	46.36056
586763	Divichibazar	17	AZ	41.20117	48.98712
586925	Buzovna	9	AZ	40.51903	50.11438
586968	Biny Selo	9	AZ	40.45076	50.08686
587057	Barda	11	AZ	40.37577	47.12619
587078	Bilajari	9	AZ	40.4444	49.80566
587084	Baku	9	AZ	40.37767	49.89201
